Designator,Mid X,Mid Y,Rotation,Layer
A1,43.81,-44.0,90.0,top
ADC1,40.225,-67.372125,0.0,top
ADC2,90.0,-68.215375,0.0,top
ADC3,139.575,-68.1375,0.0,top
C1,23.0825,-29.8,0.0,top
C10,136.2125,-73.15,0.0,top
C11,40.8,-62.6,180.0,top
C12,89.8875,-63.315375,180.0,top
C13,140.2,-63.2375,180.0,top
C14,160.2625,-43.35,0.0,top
C15,160.4625,-41.55,0.0,top
C16,160.4625,-39.95,0.0,top
C17,157.15,-34.75,270.0,top
C18,153.45,-43.15,180.0,top
C19,153.25,-41.15,180.0,top
C2,23.0825,-31.5,180.0,top
C20,153.25,-39.35,180.0,top
C21,85.5,-42.0,270.0,top
C22,83.85,-42.0,270.0,top
C23,25.4,-108.087,180.0,top
C24,25.2,-109.987,0.0,top
C25,19.6,-109.0245,90.0,top
C26,25.3375,-120.087,180.0,top
C27,34.3,-136.6225,270.0,top
C28,48.85,-108.087,180.0,top
C29,48.65,-109.987,0.0,top
C3,110.1125,-63.7,180.0,top
C30,43.05,-109.0245,90.0,top
C31,48.7875,-120.087,180.0,top
C32,57.75,-136.6225,270.0,top
C33,73.65,-108.212,180.0,top
C34,73.45,-110.112,0.0,top
C35,67.85,-109.1495,90.0,top
C36,73.5875,-120.212,180.0,top
C37,82.4,-136.6225,270.0,top
C38,25.4,-81.172196,180.0,top
C39,25.2,-83.072196,0.0,top
C4,110.1125,-65.4,180.0,top
C40,19.8,-82.1,90.0,top
C41,25.3375,-93.172196,180.0,top
C42,34.3,-158.3625,270.0,top
C43,48.9,-81.223196,180.0,top
C44,48.7,-83.123196,0.0,top
C45,43.1,-82.160696,90.0,top
C46,48.8375,-93.223196,180.0,top
C47,57.75,-158.3625,270.0,top
C48,73.774211,-81.212,180.0,top
C49,73.574211,-83.112,0.0,top
C5,42.0625,-72.172125,180.0,top
C50,67.974211,-82.1495,90.0,top
C51,73.711711,-93.212,180.0,top
C52,82.4,-158.3625,270.0,top
C53,100.0,-108.024,180.0,top
C54,99.8,-109.824,0.0,top
C55,92.6,-112.5745,270.0,top
C56,100.0375,-119.824,180.0,top
C57,110.25,-136.6225,270.0,top
C58,100.2,-81.135196,180.0,top
C59,100.0,-82.935196,0.0,top
C6,141.4125,-73.0375,180.0,top
C60,92.8,-85.685696,270.0,top
C61,100.2375,-92.935196,180.0,top
C62,110.25,-158.3625,270.0,top
C63,125.0,-107.924,180.0,top
C64,124.8,-109.724,0.0,top
C65,119.6,-104.7,180.0,top
C66,125.0375,-119.724,180.0,top
C67,134.6,-136.6225,270.0,top
C68,125.1,-81.160196,180.0,top
C69,124.9,-82.960196,0.0,top
C7,91.8375,-73.115375,180.0,top
C70,117.7,-85.710696,270.0,top
C71,125.1375,-92.960196,180.0,top
C72,134.6,-158.3625,270.0,top
C73,153.1,-108.024,180.0,top
C74,152.9,-109.824,0.0,top
C75,145.7,-112.5745,270.0,top
C76,153.1375,-119.824,180.0,top
C77,160.75,-136.6225,270.0,top
C78,153.0,-81.160196,180.0,top
C79,152.8,-82.960196,0.0,top
C8,36.8625,-72.65,0.0,top
C80,145.6,-85.710696,270.0,top
C81,153.0375,-92.960196,180.0,top
C82,160.75,-158.3625,270.0,top
C83,91.0,-102.0,270.0,top
C84,80.25,-75.45,270.0,top
C9,86.6375,-72.925,0.0,top
D1,26.2,-115.299,90.0,top
D10,126.0,-88.272196,90.0,top
D11,154.0,-115.136,90.0,top
D12,153.9,-88.272196,90.0,top
D2,49.65,-115.299,90.0,top
D3,74.45,-115.424,90.0,top
D4,26.2,-88.384196,90.0,top
D5,49.7,-88.435196,90.0,top
D6,74.574211,-88.424,90.0,top
D7,100.9,-115.136,90.0,top
D8,101.1,-88.247196,90.0,top
D9,125.9,-115.036,90.0,top
IC1,108.7,-70.2875,180.0,top
IC10,121.2,-114.324,270.0,top
